# Weather station Cairo (airport), Egypt, WMO_ID=62366,selection from 06.01.2019 till 15.10.2021, all days
# Encoding: ANSI
# The data is provided by the website Reliable Prognosis, rp5.kz
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.kz/archive.php?wmo_id=62366&lang=en
#
Local time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
14.10.2021 11:00,28.8,755.7,761.2,,45,Wind blowing from the east-northeast,1,,,20�30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,15.6,,,,,,
14.10.2021 05:00,22.7,755.3,760.9,,84,Wind blowing from the north-east,4,,,no clouds, ,,,,,,,,,,10,19.9,,,,,,
13.10.2021 23:00,23.9,755.3,760.9,,80,Wind blowing from the east-northeast,4,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,20.2,,,,,,
13.10.2021 20:00,26.7,755,760.5,1,54,Wind blowing from the north-east,6,,,40%., ,,,,32.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,16.6,,,,,,
13.10.2021 17:00,30.6,754,759.4,0.1,26,Wind blowing from the north-northeast,6,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,8.9,,,,,,
13.10.2021 14:00,,753.9,759.5,-0.6,,Wind blowing from the north-northeast,7,,,20�30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,9.9,,,,,,
13.10.2021 11:00,29.8,754.5,760,0,38,Wind blowing from the north-east,3,,,20�30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,14,,,,,,
13.10.2021 08:00,23.9,754.5,760.1,0.9,88,Wind blowing from the east-northeast,4,,,no clouds, ,,,22.2,,,,,,,10,21.7,,,,,,
13.10.2021 05:00,22.4,753.6,759.2,0,88,Wind blowing from the east-northeast,2,,,no clouds, ,,,,,,,,,,10,20.3,,,,,,
13.10.2021 02:00,23.3,753.6,759.2,0,82,Wind blowing from the north-east,4,,,no clouds, ,,,,,,,,,,10,20.1,,,,,,
12.10.2021 23:00,24.1,753.6,759.2,1.2,72,Wind blowing from the north-northeast,5,,,no clouds, ,,,,,,,,,,10,18.7,,,,,,
12.10.2021 20:00,27.7,752.4,757.9,1.6,34,Wind blowing from the north,4,,,40%., ,,,,33,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,10.4,,,,,,
12.10.2021 17:00,30.9,750.8,756.2,1,32,Wind blowing from the north-east,9,,,no clouds, ,,,,,,,,,,10,12.2,,,,,,
12.10.2021 14:00,32.2,749.8,755.2,-1.8,32,Wind blowing from the north,7,,,no clouds, ,,,,,,,,,,10,13.4,,,,,,
12.10.2021 11:00,27.9,751.6,757.1,-0.7,57,Wind blowing from the north,6,,,20�30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,18.6,,,,,,
12.10.2021 08:00,23,752.3,757.9,,88,Wind blowing from the north-east,3,,,70 � 80%., ,,,21.8,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 � 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,20.9,Trace of precipitation,24,,,,
11.10.2021 23:00,23.5,753,758.6,0,77,Wind blowing from the north,6,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,19.2,,,,,,
11.10.2021 20:00,25.9,753,758.5,0.9,60,Wind blowing from the north-northeast,8,,,40%., ,,,,32.3,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,17.5,,,,,,
11.10.2021 17:00,31.4,752.1,757.5,-1.3,33,Wind blowing from the north-northeast,8,,,no clouds, ,,,,,,,,,,10,13.3,,,,,,
11.10.2021 14:00,31.6,753.4,758.8,-1,31,Wind blowing from the north-northeast,6,,,no clouds, ,,,,,,,,,,10,12.5,,,,,,
11.10.2021 11:00,27.8,754.4,759.9,-0.4,49,Wind blowing from the north-northeast,8,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,16.1,,,,,,
11.10.2021 08:00,23,754.8,760.4,0.1,81,Wind blowing from the north-northeast,8,,,no clouds,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station. ",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,,,,,,,6,19.6,,,,,,
11.10.2021 05:00,20.2,754.7,760.3,-0.3,93,Wind blowing from the north-northeast,5,,,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,6,19,,,,,,
11.10.2021 02:00,21.2,755,760.6,-0.7,88,Wind blowing from the north-east,5,,,no clouds, ,,,,,,,,,,10,19.1,,,,,,
10.10.2021 23:00,22.4,755.7,761.3,0.1,81,Wind blowing from the north-east,5,,,no clouds, ,,,,,,,,,,10,19,,,,,,
10.10.2021 20:00,24.7,755.6,761.2,0.8,66,Wind blowing from the north-northeast,8,,,no clouds, ,,,,31.6,,,,,,10,17.9,,,,,,
10.10.2021 17:00,29.4,754.8,760.3,,36,Wind blowing from the north,10,,,no clouds, ,,,,,,,,,,10,12.9,,,,,,
10.10.2021 11:00,27.3,755.8,761.3,-0.4,50,Wind blowing from the north-northeast,7,,,no clouds, ,,,,,,,,,,10,16,,,,,,
10.10.2021 08:00,22.6,756.2,761.8,0.4,78,Wind blowing from the north-east,7,,,20�30%., ,,,19.2,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,18.6,,,,,,
10.10.2021 05:00,19.6,755.8,761.5,-0.3,87,Wind blowing from the north-east,4,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,17.4,,,,,,
10.10.2021 02:00,20.4,756.1,761.8,-0.4,83,Wind blowing from the north-east,4,,,no clouds, ,,,,,,,,,,10,17.4,,,,,,
09.10.2021 23:00,22.2,756.5,762.1,0.1,77,Wind blowing from the north-northeast,6,,,no clouds, ,,,,,,,,,,10,18,,,,,,
09.10.2021 20:00,24,756.4,762,1.2,66,Wind blowing from the north-northeast,9,,,no clouds, ,,,,29.9,,,,,,10,17.3,,,,,,
09.10.2021 17:00,28.8,755.2,760.7,0,43,Wind blowing from the north,7,,,no clouds, ,,,,,,,,,,10,15.1,,,,,,
09.10.2021 14:00,29.1,755.2,760.7,-1.3,43,Wind blowing from the north,6,,,no clouds, ,,,,,,,,,,10,15.1,,,,,,
09.10.2021 11:00,26.3,756.5,762,0.7,55,Wind blowing from the north-east,6,,,no clouds, ,,,,,,,,,,10,16.6,,,,,,
09.10.2021 08:00,21.9,755.8,761.4,0.9,73,Wind blowing from the north-northeast,5,,,no clouds, ,,,20,,,,,,,10,16.8,,,,,,
09.10.2021 05:00,19.7,754.9,760.6,-0.4,78,Wind blowing from the north-east,4,,,no clouds, ,,,,,,,,,,10,15.8,,,,,,
09.10.2021 02:00,21.5,755.3,760.9,-0.1,71,Wind blowing from the north-northeast,4,,,no clouds, ,,,,,,,,,,10,16,,,,,,
08.10.2021 23:00,22.8,755.4,761,0.5,69,Wind blowing from the north,5,,,no clouds, ,,,,,,,,,,10,16.8,,,,,,
08.10.2021 20:00,24.4,754.9,760.5,1.3,62,Wind blowing from the north-northeast,8,,,no clouds, ,,,,29.2,,,,,,10,16.6,,,,,,
08.10.2021 17:00,28.2,753.6,759.1,-0.3,46,Wind blowing from the north,7,,,no clouds, ,,,,,,,,,,10,15.5,,,,,,
08.10.2021 14:00,29,753.9,759.4,-1.5,43,Wind blowing from the north-northeast,6,,,no clouds, ,,,,,,,,,,10,15.3,,,,,,
08.10.2021 11:00,27.4,755.4,760.9,0.2,46,Wind blowing from the north-northeast,6,,,20�30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,14.8,,,,,,
08.10.2021 08:00,22.2,755.2,760.8,0.6,68,Wind blowing from the north,4,,,no clouds, ,,,18.7,,,,,,,10,16,,,,,,
08.10.2021 05:00,19.1,754.6,760.3,-0.1,74,Wind blowing from the east-northeast,3,,,no clouds, ,,,,,,,,,,10,14.4,,,,,,
08.10.2021 02:00,20.7,754.7,760.3,-0.3,68,Wind blowing from the north-east,4,,,no clouds, ,,,,,,,,,,10,14.6,,,,,,
07.10.2021 23:00,22.4,755,760.6,0.6,63,Wind blowing from the north-east,5,,,no clouds, ,,,,,,,,,,10,15,,,,,,
07.10.2021 20:00,24.6,754.4,760,1.5,57,Wind blowing from the north-northeast,9,,,no clouds, ,,,,29.4,,,,,,10,15.6,,,,,,
07.10.2021 17:00,29,752.9,758.4,-0.1,44,Wind blowing from the north,7,,,no clouds, ,,,,,,,,,,10,15.5,,,,,,
07.10.2021 14:00,28.8,753,758.5,-1.5,42,Wind blowing from the north-northeast,6,,,no clouds, ,,,,,,,,,,10,14.7,,,,,,
07.10.2021 11:00,26.6,754.5,760,-0.2,48,Wind blowing from the north-east,6,,,no clouds, ,,,,,,,,,,10,14.7,,,,,,
07.10.2021 08:00,20.9,754.7,760.3,0.7,76,Wind blowing from the north-northeast,4,,,40%., ,,,18,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,16.5,,,,,,
07.10.2021 05:00,18.7,754,759.7,-0.3,82,Wind blowing from the north-east,2,,,no clouds, ,,,,,,,,,,10,15.6,,,,,,
07.10.2021 02:00,20.6,754.3,759.9,-0.6,76,Wind blowing from the north,4,,,no clouds, ,,,,,,,,,,10,16.2,,,,,,
06.10.2021 23:00,22.2,754.9,760.5,0.6,71,Wind blowing from the north,6,,,no clouds, ,,,,,,,,,,10,16.7,,,,,,
06.10.2021 20:00,25.2,754.3,759.8,1,52,Wind blowing from the north-northeast,7,,,no clouds, ,,,,28.6,,,,,,10,14.6,,,,,,
06.10.2021 17:00,27.7,753.3,758.8,-0.4,42,Wind blowing from the north-northwest,6,,,no clouds, ,,,,,,,,,,10,13.6,,,,,,
06.10.2021 14:00,27.6,753.7,759.2,-2.5,42,Wind blowing from the north,6,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,13.7,,,,,,
06.10.2021 11:00,25.6,756.2,761.8,1.2,57,Wind blowing from the north,5,,,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,16.3,,,,,,
06.10.2021 08:00,21.3,755,760.6,-0.1,76,Wind blowing from the north-northwest,4,,,20�30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",3,16.9,,,,,,
06.10.2021 05:00,20.4,755.1,760.7,-0.5,78,Wind blowing from the north,2,,,no clouds, ,,,,,,,,,,10,16.4,,,,,,
06.10.2021 02:00,21.2,755.6,761.2,-2.7,76,Wind blowing from the north,3,,,no clouds, ,,,,,,,,,,10,16.8,,,,,,
05.10.2021 23:00,22.1,758.3,763.9,2.9,68,Wind blowing from the north,4,,,no clouds, ,,,,,,,,,,10,15.9,,,,,,
05.10.2021 20:00,24.1,755.4,761,1.2,57,Wind blowing from the north,8,,,no clouds, ,,,,28.8,,,,,,10,15.1,,,,,,
05.10.2021 17:00,27.5,754.2,759.7,0.3,41,Wind blowing from the north-northwest,6,,,no clouds, ,,,,,,,,,,10,12.9,,,,,,
05.10.2021 14:00,27.9,753.9,759.4,-1.3,41,Wind blowing from the north,5,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,13.4,,,,,,
05.10.2021 11:00,24.8,755.2,760.8,-0.4,53,Wind blowing from the north,4,,,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,14.6,,,,,,
05.10.2021 08:00,21.6,755.6,761.2,0.5,67,Wind blowing from the north,3,,,20�30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",4,15.2,,,,,,
05.10.2021 05:00,20.7,755.1,760.7,-0.2,70,Wind blowing from the north,2,,,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",4,15,,,,,,
05.10.2021 02:00,20.9,755.3,760.9,-0.9,70,Wind blowing from the north,3,,,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",4,15.2,,,,,,
04.10.2021 23:00,22,756.2,761.8,0.3,68,Wind blowing from the north,5,,,20�30%.,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station. ",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,15.8,,,,,,
04.10.2021 20:00,24,755.9,761.5,1.1,60,Wind blowing from the north,7,,,20�30%.,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station. ",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,28.4,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,15.8,,,,,,
04.10.2021 17:00,27.4,754.8,760.3,-0.3,47,Wind blowing from the north-northwest,6,,,20�30%.,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station. ",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,15.1,,,,,,
04.10.2021 14:00,28.1,755.1,760.6,-1.2,44,Wind blowing from the north,3,,,20�30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,14.7,,,,,,
04.10.2021 11:00,26.1,756.3,761.8,-0.1,54,Wind blowing from the north,5,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,16.1,,,,,,
04.10.2021 08:00,21.8,756.4,762,0.4,75,Wind blowing from the north,4,,,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,,,,,,,4,17.2,,,,,,
04.10.2021 05:00,20.6,756,761.6,-0.3,77,Wind blowing from the north-northwest,3,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,4,16.4,,,,,,
04.10.2021 02:00,21.6,756.3,761.9,-0.6,72,Wind blowing from the north,4,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,6,16.3,,,,,,
03.10.2021 23:00,22.4,756.9,762.5,0.8,66,Wind blowing from the north,5,,,no clouds, ,,,,,,,,,,10,15.8,,,,,,
03.10.2021 20:00,24.1,756.1,761.7,1.3,60,Wind blowing from the north,7,,,no clouds, ,,,,28.1,,,,,,10,15.9,,,,,,
03.10.2021 17:00,27.5,754.8,760.3,0.1,45,Wind blowing from the north-northwest,5,,,50%., ,,,,,,,600-1000,,,10,14.5,,,,,,
03.10.2021 14:00,26.9,754.7,760.2,-1,44,Wind blowing from the north-northwest,5,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,13.6,,,,,,
03.10.2021 11:00,25,755.7,761.3,0,53,Wind blowing from the west-northwest,3,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,14.8,,,,,,
03.10.2021 08:00,21.8,755.7,761.3,0.9,69,Wind blowing from the north-northwest,4,,,50%., ,,,21.6,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,15.9,,,,,,
03.10.2021 05:00,21.8,754.8,760.4,0,73,Wind blowing from the north-northwest,3,,,20�30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,16.7,,,,,,
03.10.2021 02:00,22.5,754.8,760.4,-0.1,73,Wind blowing from the north-west,4,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,17.4,,,,,,
02.10.2021 23:00,23.6,754.9,760.5,0.7,71,Wind blowing from the north-west,5,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,18,,,,,,
02.10.2021 20:00,28.8,754.2,759.7,1.4,51,Wind blowing from the north-northwest,6,,,60%., ,,,,28.9,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,17.7,,,,,,
02.10.2021 17:00,28.3,752.8,758.3,0,42,Wind blowing from the west-northwest,5,,,no clouds, ,,,,,,,,,,10,14.2,,,,,,
02.10.2021 14:00,28.3,752.8,758.3,-1.1,44,Wind blowing from the west-northwest,4,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,14.9,,,,,,
02.10.2021 11:00,25,753.9,759.4,0,55,Wind blowing from the north-west,3,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,15.3,,,,,,
02.10.2021 08:00,22.5,753.9,759.5,,67,Wind blowing from the north-west,2,,,20�30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,16.1,,,,,,
02.10.2021 02:00,21.9,753.3,758.9,-0.5,72,Wind blowing from the north-west,3,,,20�30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20�30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,16.6,,,,,,
