# Weather station Espoo / Tapiola, Finland, WMO_ID=2985,selection from 01.01.2019 till 19.10.2021, all days
# Encoding: UTF-8
# The data is provided by the website Reliable Prognosis, rp5.kz
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.kz/archive.php?wmo_id=2985&lang=en
#
Local time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
13.10.2021 06:00,6.6,754.7,755.4,,99,Wind blowing from the north,2,2,3,100%.,Mist. ,,,,,,100%.,50-100,,,2.1,6.5,No precipitation,1,,,,
13.10.2021 03:00,6.5,754.6,755.3,,100,Wind blowing from the north-east,2,,,100%.,Mist. ,,,,,,100%.,1500-2000,,,4.2,6.5,No precipitation,1,,,,
13.10.2021 00:00,6.1,754.9,755.5,,99,Wind blowing from the north-east,2,2,2,"90  or more, but not 100%","Fog or ice fog, has begun or become thicker during the past hour. ",,,,,,"90  or more, but not 100%",1000-1500,,,0.8,6,No precipitation,1,,,,
12.10.2021 21:00,5.9,754.6,755.3,,99,Wind blowing from the north-west,2,2,2,"90  or more, but not 100%",Mist. ,,,5.6,10.6,,"90  or more, but not 100%",1000-1500,,,9,5.8,0.2,12,,,,
12.10.2021 18:00,8.2,754.1,754.8,,96,Wind blowing from the west-northwest,2,3,3,60%.,No significant weather observed. ,,,,,,50%.,300-600,,,30,7.6,No precipitation,1,,,,
12.10.2021 15:00,10,753.5,754.3,,86,Wind blowing from the south,1,3,3,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,45,7.7,No precipitation,1,,,,
12.10.2021 12:00,8.2,753.4,754,,96,Wind blowing from the south-southwest,1,3,3,100%.,"Rain, not freezing, slight. ",,,,,,100%.,200-300,,,23,7.6,No precipitation,1,,,,
12.10.2021 09:00,6.9,752.8,753.5,,99,,,,,100%.,"Rain, not freezing, moderate. ",,,6.8,9.6,,100%.,1000-1500,,,8,6.7,24,12,,,,
12.10.2021 06:00,7.4,752.8,753.5,,97,Wind blowing from the south-west,4,6,7,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,300-600,,,14,7,3,1,,,,
12.10.2021 03:00,9.6,753.3,754,,89,Wind blowing from the south-southwest,4,8,12,100%.,"Rain, not freezing, slight. ",,,,,,100%.,300-600,,,16,7.8,No precipitation,1,,,,
12.10.2021 00:00,9.3,754,754.6,,85,Wind blowing from the south-southwest,7,11,13,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,24,6.8,No precipitation,1,,,,
11.10.2021 21:00,8.3,755.2,755.9,,87,Wind blowing from the south,6,12,17,100%.,"Rain, not freezing, slight. ",,,8.2,12.2,,100%.,600-1000,,,13,6.2,1,12,,,,
11.10.2021 18:00,10.6,756.4,757.1,,78,Wind blowing from the south,6,10,12,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,23,6.8,No precipitation,1,,,,
11.10.2021 15:00,11.4,757.9,758.7,,75,Wind blowing from the south,6,11,11,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",600-1000,,,21,7.1,No precipitation,1,,,,
11.10.2021 12:00,11.6,759.4,760.1,,78,Wind blowing from the south,6,13,14,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,18,7.9,No precipitation,1,,,,
11.10.2021 09:00,10.3,760.3,761,,86,Wind blowing from the south-southwest,7,12,14,"90  or more, but not 100%",No significant weather observed. ,,,10.2,11.4,,"90  or more, but not 100%",300-600,,,16,8.1,No precipitation,12,,,,
11.10.2021 06:00,10.6,761.5,762.1,,84,Wind blowing from the south-southwest,7,11,13,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,20,7.9,No precipitation,1,,,,
11.10.2021 03:00,11.1,763.1,763.8,,85,Wind blowing from the south-west,7,12,12,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,21,8.7,No precipitation,1,,,,
11.10.2021 00:00,11.3,764.3,765,,84,Wind blowing from the south-southwest,7,12,12,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,26,8.6,No precipitation,1,,,,
10.10.2021 21:00,11.2,765.3,766,,81,Wind blowing from the south-west,7,,,"90  or more, but not 100%",No significant weather observed. ,,,11,12.7,,20–30%.,300-600,,,29,8.1,0.2,12,,,,
10.10.2021 18:00,11,766.7,767.4,,81,Wind blowing from the south-southwest,7,,13,"90  or more, but not 100%",No significant weather observed. ,,,,,,50%.,300-600,,,21,7.9,No precipitation,1,,,,
10.10.2021 15:00,12.1,767.8,768.4,,85,Wind blowing from the south-west,7,10,,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,17,9.6,No precipitation,1,,,,
10.10.2021 12:00,12.3,768.3,769,,85,Wind blowing from the south-west,6,12,14,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,25,9.9,No precipitation,1,,,,
10.10.2021 09:00,11.5,768.6,769.3,,90,Wind blowing from the south-west,6,10,,100%.,No significant weather observed. ,,,10.7,11.5,,100%.,200-300,,,21,9.9,0.5,12,,,,
10.10.2021 06:00,11.5,769.8,770.5,,94,Wind blowing from the south-west,5,10,10,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,13,10.5,No precipitation,1,,,,
10.10.2021 03:00,11.1,770.7,771.4,,99,Wind blowing from the south-southwest,4,8,8,100%.,Mist. ,,,,,,100%.,50-100,,,2,11,No precipitation,1,,,,
10.10.2021 00:00,10.7,771.9,772.6,,98,Wind blowing from the south-southwest,4,6,8,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,50-100,,,2.5,10.4,0.2,1,,,,
09.10.2021 21:00,11.3,772.6,773.3,,93,Wind blowing from the south-southwest,5,9,9,100%.,No significant weather observed. ,,,11.3,13.5,,100%.,200-300,,,15,10.2,No precipitation,12,,,,
09.10.2021 18:00,12.2,773.4,774.1,,91,Wind blowing from the south-west,3,5,9,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,14,10.8,No precipitation,1,,,,
09.10.2021 15:00,13.1,774,774.7,,89,Wind blowing from the south-southwest,3,5,5,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,11,11.3,No precipitation,1,,,,
09.10.2021 12:00,12.6,774.1,774.7,,92,Wind blowing from the south-west,4,5,5,100%.,No significant weather observed. ,,,,,,100%.,100-200,,,11,11.4,No precipitation,1,,,,
09.10.2021 09:00,11.3,773.9,774.6,,99,Wind blowing from the south-southwest,3,4,4,100%.,Drizzle (not freezing) or snow grains. ,,,11.2,11.8,,100%.,100-200,,,3.8,11.1,0.6,12,,,,
09.10.2021 06:00,11.4,773.7,774.4,,94,Wind blowing from the south-west,3,5,6,100%.,Rain (not freezing). ,,,,,,100%.,200-300,,,11,10.4,No precipitation,1,,,,
09.10.2021 03:00,11.4,774.3,775,,90,Wind blowing from the south-west,4,6,7,100%.,"Rain, not freezing, slight. ",,,,,,100%.,200-300,,,14,9.8,No precipitation,1,,,,
09.10.2021 00:00,11.4,774.5,775.2,,89,Wind blowing from the south-west,5,7,9,100%.,Drizzle (not freezing) or snow grains. ,,,,,,100%.,300-600,,,15,9.6,No precipitation,1,,,,
08.10.2021 21:00,11.7,774.8,775.5,,88,Wind blowing from the south-southwest,6,,,"90  or more, but not 100%",No significant weather observed. ,,,11.4,12.9,,"90  or more, but not 100%",300-600,,,16,9.7,No precipitation,12,,,,
08.10.2021 18:00,11.9,775.4,776.1,,84,Wind blowing from the south-southwest,5,7,8,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,20,9.3,No precipitation,1,,,,
08.10.2021 15:00,12.6,775.9,776.5,,81,Wind blowing from the south-west,6,9,9,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,20,9.4,No precipitation,1,,,,
08.10.2021 12:00,12.1,776.2,776.8,,85,Wind blowing from the south-west,5,8,8,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,17,9.7,No precipitation,1,,,,
08.10.2021 09:00,11.5,775.5,776.2,,89,Wind blowing from the south-west,4,7,7,100%.,No significant weather observed. ,,,10.5,11.5,,100%.,200-300,,,16,9.8,No precipitation,12,,,,
08.10.2021 06:00,11.3,774.7,775.4,,92,Wind blowing from the south-southwest,4,5,5,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,13,10,No precipitation,1,,,,
08.10.2021 03:00,11.2,774.1,774.8,,91,Wind blowing from the south-west,4,5,6,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,17,9.8,No precipitation,1,,,,
08.10.2021 00:00,11.1,773.7,774.4,,94,Wind blowing from the south-west,4,7,8,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,200-300,,,6,10.1,No precipitation,1,,,,
07.10.2021 21:00,10.5,773.2,773.8,,91,Wind blowing from the south-southwest,6,8,11,100%.,"Rain, not freezing, slight. ",,,10,12.1,,100%.,300-600,,,10,9.1,0.5,12,,,,
07.10.2021 18:00,10.2,772.3,773,,95,Wind blowing from the south-southwest,5,8,,100%.,Mist. ,,,,,,100%.,100-200,,,5,9.5,No precipitation,1,,,,
07.10.2021 15:00,10.2,771.8,772.5,,94,Wind blowing from the south-southwest,6,11,11,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,200-300,,,5,9.3,0.2,1,,,,
07.10.2021 12:00,11.5,771.3,772,,75,Wind blowing from the south-southwest,6,13,13,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,23,7.2,No precipitation,1,,,,
07.10.2021 09:00,10.8,770.7,771.4,,77,Wind blowing from the south,7,11,12,60%.,No significant weather observed. ,,,10.5,13.1,,60%.,"2500 or more, or no clouds.",,,25,6.9,0.2,12,,,,
07.10.2021 06:00,11.1,769.9,770.6,,75,Wind blowing from the south,7,11,11,60%.,No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,24,6.7,No precipitation,1,,,,
07.10.2021 03:00,12.2,769.7,770.4,,71,Wind blowing from the south,6,11,11,100%.,No significant weather observed. ,,,,,,100%.,"2500 or more, or no clouds.",,,23,7,No precipitation,1,,,,
07.10.2021 00:00,12.4,769.3,770,,73,Wind blowing from the south,4,8,,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",1500-2000,,,28,7.6,No precipitation,1,,,,
06.10.2021 21:00,12.9,768.7,769.5,,70,Wind blowing from the south,4,7,10,100%.,No significant weather observed. ,,,10.2,13.7,,100%.,2000-2500,,,30,7.6,No precipitation,12,,,,
06.10.2021 18:00,12.6,767.5,768.1,,72,Wind blowing from the south-southeast,4,6,7,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",2000-2500,,,35,7.7,No precipitation,1,,,,
06.10.2021 15:00,12.7,766.9,767.6,,71,Wind blowing from the south-southeast,4,7,,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,"2500 or more, or no clouds.",,,25,7.6,No precipitation,1,,,,
06.10.2021 12:00,11.6,766.6,767.3,,70,Wind blowing from the south-southeast,6,11,11,"10%  or less, but not 0",No significant weather observed. ,,,,,,"10%  or less, but not 0","2500 or more, or no clouds.",,,25,6.3,No precipitation,1,,,,
06.10.2021 09:00,10.5,766.3,767,,75,Wind blowing from the south-east,5,11,11,"90  or more, but not 100%",No significant weather observed. ,,,9.9,11.2,,,"2500 or more, or no clouds.",,,29,6.3,No precipitation,12,,,,
06.10.2021 06:00,10.6,766.4,767.1,,79,Wind blowing from the south-east,4,,8,100%.,No significant weather observed. ,,,,,,40%.,2000-2500,,,27,7.1,No precipitation,1,,,,
06.10.2021 03:00,11.1,766.9,767.5,,80,Wind blowing from the south-east,5,8,8,100%.,No significant weather observed. ,,,,,,100%.,2000-2500,,,24,7.8,No precipitation,1,,,,
06.10.2021 00:00,10.7,767.2,767.9,,85,Wind blowing from the south-east,5,,8,100%.,No significant weather observed. ,,,,,,100%.,"2500 or more, or no clouds.",,,24,8.2,No precipitation,1,,,,
05.10.2021 21:00,10.3,767.4,768.1,,89,Wind blowing from the south-east,5,9,9,100%.,"Drizzle, not freezing, slight. ",,,9.6,11.2,,"10%  or less, but not 0",1000-1500,,,20,8.6,6,12,,,,
05.10.2021 18:00,9.7,767.5,768.1,,97,Wind blowing from the east-southeast,4,5,7,100%.,"Rain, not freezing, slight. ",,,,,,100%.,1000-1500,,,6,9.2,0.9,1,,,,
05.10.2021 15:00,9.8,767.2,767.8,,95,Wind blowing from the south-southeast,5,10,10,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,600-1000,,,8,9.1,0.6,1,,,,
05.10.2021 12:00,9.8,766.8,767.5,,95,Wind blowing from the south,4,8,8,100%.,"Rain, not freezing, slight. ",,,,,,100%.,300-600,,,7,9,0.9,1,,,,
05.10.2021 09:00,11.2,765.9,766.6,,80,Wind blowing from the south-southeast,4,9,10,100%.,No significant weather observed. ,,,11.1,12.5,,100%.,600-1000,,,26,7.9,No precipitation,12,,,,
05.10.2021 06:00,11.4,765.3,766,,78,Wind blowing from the south-southeast,5,9,11,100%.,No significant weather observed. ,,,,,,70 – 80%.,1500-2000,,,27,7.7,No precipitation,1,,,,
05.10.2021 03:00,11.8,765.7,766.4,,76,Wind blowing from the south-southeast,4,,10,100%.,No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,28,7.6,No precipitation,1,,,,
05.10.2021 00:00,12.1,766.3,767,,77,Wind blowing from the south-east,4,8,10,"90  or more, but not 100%",No significant weather observed. ,,,,,,50%.,"2500 or more, or no clouds.",,,28,8.2,No precipitation,1,,,,
04.10.2021 21:00,12.2,766.4,767.1,,81,Wind blowing from the south-east,5,9,9,"90  or more, but not 100%",No significant weather observed. ,,,9.7,13.5,,"90  or more, but not 100%","2500 or more, or no clouds.",,,30,9,No precipitation,12,,,,
04.10.2021 18:00,13.3,766,766.8,,71,Wind blowing from the south-southeast,5,9,9,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%","2500 or more, or no clouds.",,,29,8.2,No precipitation,1,,,,
04.10.2021 15:00,13.4,766.1,766.9,,70,Wind blowing from the south-east,5,8,10,40%.,No significant weather observed. ,,,,,,20–30%.,"2500 or more, or no clouds.",,,30,8,No precipitation,1,,,,
04.10.2021 12:00,11,766.6,767.3,,75,Wind blowing from the south-east,6,9,10,"90  or more, but not 100%",No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,29,6.7,No precipitation,1,,,,
04.10.2021 09:00,9.6,766.5,767.2,,84,Wind blowing from the south-east,4,8,10,no clouds,No significant weather observed. ,,,9.1,11.4,,,,,,20,7,No precipitation,12,,,,
04.10.2021 06:00,9.3,766,766.7,,86,Wind blowing from the south-east,6,10,11,no clouds,No significant weather observed. ,,,,,,,,,,19,7.1,No precipitation,1,,,,
04.10.2021 03:00,10.1,766.5,767.2,,88,Wind blowing from the south-east,5,8,10,no clouds,No significant weather observed. ,,,,,,,,,,21,8.1,No precipitation,1,,,,
04.10.2021 00:00,10.8,766.3,767.1,,89,Wind blowing from the south-southeast,5,10,10,"10%  or less, but not 0",No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,19,9.1,No precipitation,1,,,,
03.10.2021 21:00,11.2,766.1,766.9,,89,Wind blowing from the south-east,4,8,9,"10%  or less, but not 0",No significant weather observed. ,,,9.5,13.1,,"10%  or less, but not 0",1500-2000,,,20,9.5,No precipitation,12,,,,
03.10.2021 18:00,12.2,765.7,766.4,,83,Wind blowing from the east-southeast,4,7,,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,1000-1500,,,25,9.3,No precipitation,1,,,,
03.10.2021 15:00,12.9,766,766.8,,75,Wind blowing from the east-southeast,5,8,9,no clouds,No significant weather observed. ,,,,,,,,,,26,8.5,No precipitation,1,,,,
03.10.2021 12:00,11.1,766.9,767.5,,79,Wind blowing from the east-southeast,5,8,10,no clouds,No significant weather observed. ,,,,,,,,,,26,7.6,No precipitation,1,,,,
03.10.2021 09:00,9.6,766.9,767.5,,82,Wind blowing from the south-east,5,10,10,no clouds,No significant weather observed. ,,,8.8,11.6,,,,,,30,6.7,No precipitation,12,,,,
03.10.2021 06:00,9.5,766.9,767.5,,81,Wind blowing from the south-southeast,5,,9,no clouds,No significant weather observed. ,,,,,,,,,,30,6.4,No precipitation,1,,,,
03.10.2021 03:00,10,767.6,768.4,,81,Wind blowing from the south-east,4,9,9,no clouds,No significant weather observed. ,,,,,,,,,,28,6.9,No precipitation,1,,,,
03.10.2021 00:00,10.2,767.9,768.6,,85,Wind blowing from the south-east,4,,10,no clouds,No significant weather observed. ,,,,,,,,,,26,7.8,No precipitation,1,,,,
02.10.2021 21:00,11.3,767.9,768.6,,81,Wind blowing from the south-east,5,8,8,"10%  or less, but not 0",No significant weather observed. ,,,9.2,12.2,,"10%  or less, but not 0",1000-1500,,,24,8.2,No precipitation,12,,,,
02.10.2021 18:00,11.3,767.9,768.6,,81,Wind blowing from the east,3,4,,no clouds,No significant weather observed. ,,,,,,,,,,22,8.2,No precipitation,1,,,,
02.10.2021 15:00,12,768.5,769.2,,76,Wind blowing from the south-east,4,6,8,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",1000-1500,,,27,7.9,No precipitation,1,,,,
02.10.2021 12:00,11,769.2,769.9,,84,Wind blowing from the south-east,5,8,8,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,17,8.4,No precipitation,1,,,,
